,indice,Address,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,DISTRICT,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,Address2,INBUILDINGK,EXTBUILDINGK,POILOGISTICK,ZONEK,DISTRICTK,HOUSENUMK,ROADNAMEK,POBOXK,ZIPCODEK,CITYK,COUNTRYK,NewLabel,Pattern_Add1
12,12,22 AVENUE DE BUROS 64000 PAU FRANCE,NONE,NONE,NONE,NONE,NONE,22,AVENUE DE BUROS,NONE,64000.0,PAU,FRANCE,22 AVENUE DE BUROS 64000 PAU FRANCE,NONE,NONE,NONE,NONE,NONE,22,AVENUE DE BUROS,NONE,64000.0,PAU,FRANCE,Match,HN RN C
13,13,26 RUE ALBERT MAIGNAN 72000 LE MANS FRANCE,NONE,NONE,NONE,NONE,NONE,26,RUE ALBERT MAIGNAN,NONE,72000.0,LE MANS,FRANCE,26 RUE ALBERT MAIGNAN 72000 LE MANS FRANCE,NONE,NONE,NONE,NONE,NONE,26,RUE ALBERT MAIGNAN,NONE,72000.0,LE MANS,FRANCE,Match,HN RN C
14,14,LIEU DIT LE SANTA CRUZ 83980 LE LAVANDOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT LE SANTA CRUZ,NONE,83980.0,LE LAVANDOU,FRANCE,LIEU DIT LE SANTA CRUZ 83980 LE LAVANDOU FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT LE SANTA CRUZ,NONE,83980.0,LE LAVANDOU,FRANCE,Match,RN C
15,15,CABINET PARAMEDICAL 26 CHEMIN LACLAU 50190 NAY FRANCE,NONE,NONE,CABINET PARAMEDICAL,NONE,NONE,26,CHEMIN LACLAU,NONE,50190.0,NAY,FRANCE,26 CHEMIN LACLAU 50190 NAY FRANCE,NONE,NONE,NONE,NONE,NONE,26,CHEMIN LACLAU,NONE,50190.0,NAY,FRANCE,Match,P HN RN C
16,16,ZAC DES RENARDIERES RUE LAVOISIER 21700 NUITS-SAINT-GEORGES FRANCE,NONE,NONE,NONE,ZAC DES RENARDIERES,NONE,NONE,RUE LAVOISIER,NONE,21700.0,NUITS-SAINT-GEORGES,FRANCE,ZAC DES RENARDIERES RUE LAVOISIER 21700 NUITS-SAINT-GEORGES FRANCE,NONE,NONE,NONE,ZAC DES RENARDIERES,NONE,NONE,RUE LAVOISIER,NONE,21700.0,NUITS-SAINT-GEORGES,FRANCE,Match,Z RN C
17,17,54 RUE DU HAMEL 80270 AIRAINES FRANCE,NONE,NONE,NONE,NONE,NONE,54,RUE DU HAMEL,NONE,80270.0,AIRAINES,FRANCE,54 RUE DU HAMEL 80270 AIRAINES FRANCE,NONE,NONE,NONE,NONE,NONE,54,RUE DU HAMEL,NONE,80270.0,AIRAINES,FRANCE,Match,HN RN C
18,18,47 BOULEVARD BARRY 13001 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,47,BOULEVARD BARRY,NONE,13001.0,MARSEILLE,FRANCE,47 BOULEVARD BARRY 13001 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,47,BOULEVARD BARRY,NONE,13001.0,MARSEILLE,FRANCE,Match,HN RN C
19,19,70 RUE DIANE DE POITIERS 84000 AVIGNON FRANCE,NONE,NONE,NONE,NONE,NONE,70,RUE DIANE DE POITIERS,NONE,84000.0,AVIGNON,FRANCE,70 RUE DIANE DE POITIERS 84000 AVIGNON FRANCE,NONE,NONE,NONE,NONE,NONE,70,RUE DIANE DE POITIERS,NONE,84000.0,AVIGNON,FRANCE,Match,HN RN C
20,20,RUE MEGEVAND 25000 BESANCON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE MEGEVAND,NONE,25000.0,BESANCON,FRANCE,RUE MEGEVAND 25000 BESANCON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE MEGEVAND,NONE,25000.0,BESANCON,FRANCE,Match,RN C
21,21,27 RUE PORTE DE LAURE 13200 ARLES FRANCE,NONE,NONE,NONE,NONE,NONE,27,RUE PORTE DE LAURE,NONE,13200.0,ARLES,FRANCE,27 RUE PORTE DE LAURE 13200 ARLES FRANCE,NONE,NONE,NONE,NONE,NONE,27,RUE PORTE DE LAURE,NONE,13200.0,ARLES,FRANCE,Match,HN RN C
22,22,AVENUE DE LA CITE 59640 DUNKERQUE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DE LA CITE,NONE,59640.0,DUNKERQUE,FRANCE,AVENUE DE LA CITE 59640 DUNKERQUE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DE LA CITE,NONE,59640.0,DUNKERQUE,FRANCE,Match,RN C
23,23,IMMEUBLE LE PALATIN CENTRE EUROPE - RUE GEORGES SIMENON 83400 HYERES FRANCE,NONE,IMMEUBLE LE PALATIN,NONE,CENTRE EUROPE -,NONE,NONE,RUE GEORGES SIMENON,NONE,83400.0,HYERES,FRANCE,IMMEUBLE LE PALATIN RUE GEORGES SIMENON 83400 HYERES FRANCE,NONE,IMMEUBLE LE PALATIN,NONE,NONE,NONE,NONE,RUE GEORGES SIMENON,NONE,83400.0,HYERES,FRANCE,Match,EB Z RN C
24,24,107 RUE DE CERNAY 51100 REIMS FRANCE,NONE,NONE,NONE,NONE,NONE,107,RUE DE CERNAY,NONE,51100.0,REIMS,FRANCE,107 RUE DE CERNAY 51100 REIMS FRANCE,NONE,NONE,NONE,NONE,NONE,107,RUE DE CERNAY,NONE,51100.0,REIMS,FRANCE,Match,HN RN C
25,25,35 RUE PASTEUR 90300 CRAVANCHE FRANCE,NONE,NONE,NONE,NONE,NONE,35,RUE PASTEUR,NONE,90300.0,CRAVANCHE,FRANCE,35 RUE PASTEUR 90300 CRAVANCHE FRANCE,NONE,NONE,NONE,NONE,NONE,35,RUE PASTEUR,NONE,90300.0,CRAVANCHE,FRANCE,Match,HN RN C
26,26,IMMEUBLE CLAIN 234 RUE DU GENERAL LAMBERT 97416 SAINT-LEU FRANCE,NONE,IMMEUBLE CLAIN,NONE,NONE,NONE,234,RUE DU GENERAL LAMBERT,NONE,97416.0,SAINT-LEU,FRANCE,234 RUE DU GENERAL LAMBERT 97416 SAINT-LEU FRANCE,NONE,NONE,NONE,NONE,NONE,234,RUE DU GENERAL LAMBERT,NONE,97416.0,SAINT-LEU,FRANCE,Match,EB HN RN C
27,27,BATIMENT B ZAC SAINT MARTIN ACTINOVA 37 RUE FRANCOIS GERNELLE 84120 PERTUIS FRANCE,NONE,BATIMENT B,NONE,ZAC SAINT MARTIN ACTINOVA,NONE,37,RUE FRANCOIS GERNELLE,NONE,84120.0,PERTUIS,FRANCE,BATIMENT B 37 RUE FRANCOIS GERNELLE 84120 PERTUIS FRANCE,NONE,BATIMENT B,NONE,NONE,NONE,37,RUE FRANCOIS GERNELLE,NONE,84120.0,PERTUIS,FRANCE,Match,EB Z HN RN C
28,28,AVENUE DES ETATS UNIS 18350 CHAUMONT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DES ETATS UNIS,NONE,18350.0,CHAUMONT,FRANCE,AVENUE DES ETATS UNIS 18350 CHAUMONT FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DES ETATS UNIS,NONE,18350.0,CHAUMONT,FRANCE,Match,RN C
29,29,AVENUE DE GRAMMONT 37000 TOURS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DE GRAMMONT,NONE,37000.0,TOURS,FRANCE,AVENUE DE GRAMMONT 37000 TOURS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DE GRAMMONT,NONE,37000.0,TOURS,FRANCE,Match,RN C
30,30,15 RUE PUCHEOU 64230 SIROS FRANCE,NONE,NONE,NONE,NONE,NONE,15,RUE PUCHEOU,NONE,64230.0,SIROS,FRANCE,15 RUE PUCHEOU 64230 SIROS FRANCE,NONE,NONE,NONE,NONE,NONE,15,RUE PUCHEOU,NONE,64230.0,SIROS,FRANCE,Match,HN RN C
31,31,6 RUE EMILE ZOLA 59161 ESCAUDOEUVRES FRANCE,NONE,NONE,NONE,NONE,NONE,6,RUE EMILE ZOLA,NONE,59161.0,ESCAUDOEUVRES,FRANCE,6 RUE EMILE ZOLA 59161 ESCAUDOEUVRES FRANCE,NONE,NONE,NONE,NONE,NONE,6,RUE EMILE ZOLA,NONE,59161.0,ESCAUDOEUVRES,FRANCE,Match,HN RN C
32,32,ROUTE DE GAGNAC 46130 BIARS-SUR-CERE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE GAGNAC,NONE,46130.0,BIARS-SUR-CERE,FRANCE,ROUTE DE GAGNAC 46130 BIARS-SUR-CERE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,ROUTE DE GAGNAC,NONE,46130.0,BIARS-SUR-CERE,FRANCE,Match,RN C
33,33,4 AVENUE DU 8 MAI 65200 GERDE FRANCE,NONE,NONE,NONE,NONE,NONE,4,AVENUE DU 8 MAI,NONE,65200.0,GERDE,FRANCE,4 AVENUE DU 8 MAI 65200 GERDE FRANCE,NONE,NONE,NONE,NONE,NONE,4,AVENUE DU 8 MAI,NONE,65200.0,GERDE,FRANCE,Match,HN RN C
34,34,AVENUE PIERRE ET MARIE CURIE 83240 CAVALAIRE-SUR-MER FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE PIERRE ET MARIE CURIE,NONE,83240.0,CAVALAIRE-SUR-MER,FRANCE,AVENUE PIERRE ET MARIE CURIE 83240 CAVALAIRE-SUR-MER FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE PIERRE ET MARIE CURIE,NONE,83240.0,CAVALAIRE-SUR-MER,FRANCE,Match,RN C
35,35,35 ROUTE DE LA BATHIE 73230 SAINT-ALBAN-LEYSSE FRANCE,NONE,NONE,NONE,NONE,NONE,35,ROUTE DE LA BATHIE,NONE,73230.0,SAINT-ALBAN-LEYSSE,FRANCE,35 ROUTE DE LA BATHIE 73230 SAINT-ALBAN-LEYSSE FRANCE,NONE,NONE,NONE,NONE,NONE,35,ROUTE DE LA BATHIE,NONE,73230.0,SAINT-ALBAN-LEYSSE,FRANCE,Match,HN RN C
36,36,BATIMENT A CITE ADM DE LA PART-DIEU - 165 RUE GARIBALDI 69003 LYON FRANCE,NONE,BATIMENT A,NONE,NONE,CITE ADM DE LA PART-DIEU -,165,RUE GARIBALDI,NONE,69003.0,LYON,FRANCE,BATIMENT A CITE ADM DE LA PART-DIEU - 165 RUE GARIBALDI 69003 LYON FRANCE,NONE,BATIMENT A,NONE,NONE,CITE ADM DE LA PART-DIEU -,165,RUE GARIBALDI,NONE,69003.0,LYON,FRANCE,Match,EB D HN RN C
37,37,QUARTIER WIESBERG 57600 FORBACH FRANCE,NONE,NONE,NONE,NONE,QUARTIER WIESBERG,NONE,NONE,NONE,57600.0,FORBACH,FRANCE,QUARTIER WIESBERG 57600 FORBACH FRANCE,NONE,NONE,NONE,NONE,QUARTIER WIESBERG,NONE,NONE,NONE,57600.0,FORBACH,FRANCE,Match,D C
38,38,24 RUE F BACHIMONT 10400 GUMERY FRANCE,NONE,NONE,NONE,NONE,NONE,24,RUE F BACHIMONT,NONE,10400.0,GUMERY,FRANCE,24 RUE F BACHIMONT 10400 GUMERY FRANCE,NONE,NONE,NONE,NONE,NONE,24,RUE F BACHIMONT,NONE,10400.0,GUMERY,FRANCE,Match,HN RN C
39,39,RESIDENCE 3 RAVON 3 RUE RAVON 92340 BOURG-LA-REINE FRANCE,NONE,RESIDENCE 3 RAVON,NONE,NONE,NONE,3,RUE RAVON,NONE,92340.0,BOURG-LA-REINE,FRANCE,3 RUE RAVON 92340 BOURG-LA-REINE FRANCE,NONE,NONE,NONE,NONE,NONE,3,RUE RAVON,NONE,92340.0,BOURG-LA-REINE,FRANCE,Match,EB HN RN C
40,40,AVENUE DES COURCETTES 6220 VALLAURIS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DES COURCETTES,NONE,6220.0,VALLAURIS,FRANCE,AVENUE DES COURCETTES 6220 VALLAURIS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,AVENUE DES COURCETTES,NONE,6220.0,VALLAURIS,FRANCE,Match,RN C
41,41,QUARTIER SOLIGUES AVENUE DANIEL ARGOTE 64300 ORTHEZ FRANCE,NONE,NONE,NONE,NONE,QUARTIER SOLIGUES,NONE,AVENUE DANIEL ARGOTE,NONE,64300.0,ORTHEZ,FRANCE,QUARTIER SOLIGUES AVENUE DANIEL ARGOTE 64300 ORTHEZ FRANCE,NONE,NONE,NONE,NONE,QUARTIER SOLIGUES,NONE,AVENUE DANIEL ARGOTE,NONE,64300.0,ORTHEZ,FRANCE,Match,D RN C
42,42,34 BOULEVARD DU 14 JUILLET 89100 SENS FRANCE,NONE,NONE,NONE,NONE,NONE,34,BOULEVARD DU 14 JUILLET,NONE,89100.0,SENS,FRANCE,34 BOULEVARD DU 14 JUILLET 89100 SENS FRANCE,NONE,NONE,NONE,NONE,NONE,34,BOULEVARD DU 14 JUILLET,NONE,89100.0,SENS,FRANCE,Match,HN RN C
43,43,8 B RUE AUGUSTE BOYENVAL 60200 COMPIEGNE FRANCE,NONE,NONE,NONE,NONE,NONE,8 B,RUE AUGUSTE BOYENVAL,NONE,60200.0,COMPIEGNE,FRANCE,8 B RUE AUGUSTE BOYENVAL 60200 COMPIEGNE FRANCE,NONE,NONE,NONE,NONE,NONE,8 B,RUE AUGUSTE BOYENVAL,NONE,60200.0,COMPIEGNE,FRANCE,Match,HN RN C
44,44,RUE P BERJONNEAU 2830 SAINT MICHEL EN L'HERM FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE P BERJONNEAU,NONE,2830.0,SAINT MICHEL EN L'HERM,FRANCE,RUE P BERJONNEAU 2830 SAINT MICHEL EN L'HERM FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE P BERJONNEAU,NONE,2830.0,SAINT MICHEL EN L'HERM,FRANCE,Match,RN C
45,45,25 RUE DE LA GREVE 45490 GONDREVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,25,RUE DE LA GREVE,NONE,45490.0,GONDREVILLE,FRANCE,25 RUE DE LA GREVE 45490 GONDREVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,25,RUE DE LA GREVE,NONE,45490.0,GONDREVILLE,FRANCE,Match,HN RN C
46,46,CENTRE COMMERCIAL PART DIEU CASE NUMERO 353 354 69003 LYON FRANCE,NONE,NONE,NONE,CENTRE COMMERCIAL PART DIEU,NONE,NONE,NONE,CASE NUMERO 353 354,69003.0,LYON,FRANCE,CENTRE COMMERCIAL PART DIEU CASE NUMERO 353 354 69003 LYON FRANCE,NONE,NONE,NONE,CENTRE COMMERCIAL PART DIEU,NONE,NONE,NONE,CASE NUMERO 353 354,69003.0,LYON,FRANCE,Match,Z C
47,47,MAISON DES SERVICES PUBLI 6 RUE ERNEST DELBET 77320 LA FERTE-GAUCHER FRANCE,NONE,NONE,NONE,MAISON DES SERVICES PUBLI,NONE,6,RUE ERNEST DELBET,NONE,77320.0,LA FERTE-GAUCHER,FRANCE,6 RUE ERNEST DELBET 77320 LA FERTE-GAUCHER FRANCE,NONE,NONE,NONE,NONE,NONE,6,RUE ERNEST DELBET,NONE,77320.0,LA FERTE-GAUCHER,FRANCE,Match,Z HN RN C
48,48,2 IMPASSE GUEMENEE 75004 PARIS FRANCE,NONE,NONE,NONE,NONE,NONE,2,IMPASSE GUEMENEE,NONE,75004.0,PARIS,FRANCE,2 IMPASSE GUEMENEE 75004 PARIS FRANCE,NONE,NONE,NONE,NONE,NONE,2,IMPASSE GUEMENEE,NONE,75004.0,PARIS,FRANCE,Match,HN RN C
49,49,PONT DES CHARETTES PONT DES CHARRETTES ZONE INDUSTRIELLE 30700 UZES FRANCE,NONE,NONE,PONT DES CHARETTES PONT DES CHARRETTES,ZONE INDUSTRIELLE,NONE,NONE,NONE,NONE,30700.0,UZES,FRANCE,PONT DES CHARETTES PONT DES CHARRETTES ZONE INDUSTRIELLE 30700 UZES FRANCE,NONE,NONE,PONT DES CHARETTES PONT DES CHARRETTES,ZONE INDUSTRIELLE,NONE,NONE,NONE,NONE,30700.0,UZES,FRANCE,Match,P Z C
50,50,15 T RUE DU MARAIS 62310 FRUGES FRANCE,NONE,NONE,NONE,NONE,NONE,15 T,RUE DU MARAIS,NONE,62310.0,FRUGES,FRANCE,15 T RUE DU MARAIS 62310 FRUGES FRANCE,NONE,NONE,NONE,NONE,NONE,15 T,RUE DU MARAIS,NONE,62310.0,FRUGES,FRANCE,Match,HN RN C
51,51,LIEU DIT COTES DE COMBE 19350 JUILLAC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT COTES DE COMBE,NONE,19350.0,JUILLAC,FRANCE,LIEU DIT COTES DE COMBE 19350 JUILLAC FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT COTES DE COMBE,NONE,19350.0,JUILLAC,FRANCE,Match,RN C
52,52,RUE GENERAL MICHEL AUDEOUD 83000 TOULON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE GENERAL MICHEL AUDEOUD,NONE,83000.0,TOULON,FRANCE,RUE GENERAL MICHEL AUDEOUD 83000 TOULON FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,RUE GENERAL MICHEL AUDEOUD,NONE,83000.0,TOULON,FRANCE,Match,RN C
53,53,38 AVENUE VICTOR HUGO 13080 AIX-EN-PROVENCE FRANCE,NONE,NONE,NONE,NONE,NONE,38,AVENUE VICTOR HUGO,NONE,13080.0,AIX-EN-PROVENCE,FRANCE,38 AVENUE VICTOR HUGO 13080 AIX-EN-PROVENCE FRANCE,NONE,NONE,NONE,NONE,NONE,38,AVENUE VICTOR HUGO,NONE,13080.0,AIX-EN-PROVENCE,FRANCE,Match,HN RN C
54,54,37 RUE FONDARY 75015 PARIS FRANCE,NONE,NONE,NONE,NONE,NONE,37,RUE FONDARY,NONE,75015.0,PARIS,FRANCE,37 RUE FONDARY 75015 PARIS FRANCE,NONE,NONE,NONE,NONE,NONE,37,RUE FONDARY,NONE,75015.0,PARIS,FRANCE,Match,HN RN C
55,55,38 RUE PRINCIPALE 67470 SELTZ FRANCE,NONE,NONE,NONE,NONE,NONE,38,RUE PRINCIPALE,NONE,67470.0,SELTZ,FRANCE,38 RUE PRINCIPALE 67470 SELTZ FRANCE,NONE,NONE,NONE,NONE,NONE,38,RUE PRINCIPALE,NONE,67470.0,SELTZ,FRANCE,Match,HN RN C
56,56,DOMAINE DE LA PREE LA GRANDE PREE 44350 GUERANDE FRANCE,NONE,NONE,NONE,DOMAINE DE LA PREE LA GRANDE PREE,NONE,NONE,NONE,NONE,44350.0,GUERANDE,FRANCE,DOMAINE DE LA PREE LA GRANDE PREE 44350 GUERANDE FRANCE,NONE,NONE,NONE,DOMAINE DE LA PREE LA GRANDE PREE,NONE,NONE,NONE,NONE,44350.0,GUERANDE,FRANCE,Match,Z C
57,57,ZONE INDUSTRIELLE NORD 11 RUE AIME ET EUGENIE COTTON 13200 ARLES FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE NORD,NONE,11,RUE AIME ET EUGENIE COTTON,NONE,13200.0,ARLES,FRANCE,11 RUE AIME ET EUGENIE COTTON 13200 ARLES FRANCE,NONE,NONE,NONE,NONE,NONE,11,RUE AIME ET EUGENIE COTTON,NONE,13200.0,ARLES,FRANCE,Match,Z HN RN C
58,58,27 RUE ALEXANDRE MERADOU 13015 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,27,RUE ALEXANDRE MERADOU,NONE,13015.0,MARSEILLE,FRANCE,27 RUE ALEXANDRE MERADOU 13015 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,27,RUE ALEXANDRE MERADOU,NONE,13015.0,MARSEILLE,FRANCE,Match,HN RN C
59,59,BATIMENT A 1 RUE DE SIAM 13011 MARSEILLE FRANCE,NONE,BATIMENT A,NONE,NONE,NONE,1,RUE DE SIAM,NONE,13011.0,MARSEILLE,FRANCE,1 RUE DE SIAM 13011 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,NONE,1,RUE DE SIAM,NONE,13011.0,MARSEILLE,FRANCE,Match,EB HN RN C
60,60,3 B RUE DES DEPORTES BP 53 45340 BEAUNE-LA-ROLANDE FRANCE,NONE,NONE,NONE,NONE,NONE,3 B,RUE DES DEPORTES,BP 53,45340.0,BEAUNE-LA-ROLANDE,FRANCE,3 B RUE DES DEPORTES BP 53 45340 BEAUNE-LA-ROLANDE FRANCE,NONE,NONE,NONE,NONE,NONE,3 B,RUE DES DEPORTES,BP 53,45340.0,BEAUNE-LA-ROLANDE,FRANCE,Match,HN RN C
61,61,CHEMIN DE LA RIVIERE 83520 ROQUEBRUNE-SUR-ARGENS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DE LA RIVIERE,NONE,83520.0,ROQUEBRUNE-SUR-ARGENS,FRANCE,CHEMIN DE LA RIVIERE 83520 ROQUEBRUNE-SUR-ARGENS FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,CHEMIN DE LA RIVIERE,NONE,83520.0,ROQUEBRUNE-SUR-ARGENS,FRANCE,Match,RN C
62,62,LIEU DIT CHARDIN 16440 ROULLET-SAINT-ESTEPHE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT CHARDIN,NONE,16440.0,ROULLET-SAINT-ESTEPHE,FRANCE,LIEU DIT CHARDIN 16440 ROULLET-SAINT-ESTEPHE FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,LIEU DIT CHARDIN,NONE,16440.0,ROULLET-SAINT-ESTEPHE,FRANCE,Match,RN C
