companyI,AddI,CompanyK,AddK,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,DISTRICT,HOUSENUM,ROADNAME,POBOX,ZIPCODE,CITY,COUNTRY,INBUILDINGK,EXTBUILDINGK,POILOGISTICK,ZONEK,DISTRICTK,HOUSENUMK,ROADNAMEK,POBOXK,ZIPCODEK,CITYK,COUNTRYK,NewLabel
DUMAIN ADRIEN ET FILS,ZI BALLASTIRE - 58 RUE DES DAGUEIS 33500 LIBOURNE FRANCE,DUMAIN ADRIEN ET FILS DUMAIN ET FILS,58 RUE DES DAGUEYS  33500 LIBOURNE France,NONE,NONE,NONE,NONE,NONE,58,RUE DES DAGUEIS,NONE,33500,LIBOURNE,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE LA BALLASTIERE,NONE,58,RUE DES DAGUEYS,NONE,33500,LIBOURNE,FRANCE,Match
TRANSPORTS BARTHES,17 RUE DE FENOUILLET 31140 SAINT ALBAN FRANCE,SARL TRANSPORTS BARTHES,17 RUE DE FENOUILLET 31140 SAINT ALBAN France,NONE,NONE,NONE,NONE,NONE,17,RUE DE FENOUILLET,NONE,31140,SAINT ALBAN,FRANCE,NONE,NONE,NONE,NONE,NONE,17,RUE DE FENOUILLET,NONE,31140,SAINT ALBAN,FRANCE,Match
COOS ENTREPRISE,300 CHEMIN DE MARQUE DEBAT 64530 GER FRANCE,EURL COOS ENTREPRISE,55 CHE DE MARQUE DEBAT 64530 GER France,NONE,NONE,NONE,NONE,NONE,300,CHEMIN DE MARQUE DEBAT,NONE,64530,GER,FRANCE,NONE,NONE,NONE,NONE,NONE,55,CHEMIN DE MARQUE DEBAT,NONE,64530,GER,FRANCE,PartialMatch
GROUPE HEPPNER,37 RUE DU LAVOIR 40230 ST VINCENT DE TYROSSE FRANCE,HEPPNER SOCIETE DE TRANSPORTS,RUE DU LAVOIR ZONE ARTISANAL CASABLANCA 40230 SAINT VINCENT DE TYROSSE France,NONE,NONE,NONE,NONE,NONE,37,RUE DU LAVOIR,NONE,40230,SAINT,FRANCE,NONE,LOTISSEMENT ARTISANAL CASABLANCA,NONE,ZONE ARTISANAL CASABLANCA,NONE,NONE,RUE DU LAVOIR,NONE,40230,SAINT,FRANCE,PartialMatch
HB EXPRESS,119 Avenue PIERRE SEMARD 84000 AVIGNON France,HB EXPRESS,150 AV PIERRE SEMARD 84000 AVIGNON France,NONE,NONE,NONE,NONE,NONE,119,AVENUE PIERRE SEMARD,NONE,84000,AVIGNON,FRANCE,NONE,NONE,NONE,NONE,NONE,150,AVENUE PIERRE SEMARD,NONE,84000,AVIGNON,FRANCE,PartialMatch
SOFRINO ( ENTREPOTS FRIGORIFIQUES 94 ),42 rue Charles Heller 94400 VITRY SUR SEINE France,SOFRINO,42 RUE CHARLES HELLER 42 54 94400 VITRY SUR SEINE France,NONE,NONE,NONE,NONE,NONE,42,RUE CHARLES HELLER,NONE,94400,VITRY SUR SEINE,FRANCE,NONE,NONE,NONE,NONE,NONE,42,RUE CHARLES HELLER,NONE,94400,VITRY SUR SEINE,FRANCE,Match
NORD OUEST EXPRESS,23 BIS RUE DE L'AVENIR 14650 CARPIQUET FRANCE,NORD OUEST EXPRESS NORMANDIE CAR SERVICE,23 B RUE DE L AVENIR 14650 CARPIQUET France,NONE,NONE,NONE,NONE,NONE,23,RUE DE L'AVENIR,NONE,14650,CARPIQUET,FRANCE,NONE,NONE,NONE,NONE,NONE,23,RUE DE L AVENIR,NONE,14650,CARPIQUET,FRANCE,Match
BREL TRANSPORTS,3056 AVENUE ETIENNE MEHUL 34070 MONTPELLIER FRANCE,TRANSPORTS BREL BREL TRANSPORTS,3056 AV ETIENNE MEHUL CS 15003 34070 MONTPELLIER France,NONE,NONE,NONE,NONE,NONE,3056,AVENUE ETIENNE MEHUL,NONE,34070,MONTPELLIER,FRANCE,NONE,NONE,NONE,NONE,NONE,3056,AVENUE ETIENNE MEHUL,NONE,34070,MONTPELLIER,FRANCE,Match
SLFT,"145, route de millery 69700 Montagny France",EURL SLFT SLFT,145 RTE DE MILLERY 69700 MONTAGNY France,NONE,NONE,NONE,NONE,NONE,145,ROUTE DE MILLERY,NONE,69700,MONTAGNY,FRANCE,NONE,NONE,NONE,NONE,NONE,145,ROUTE DE MILLERY,NONE,69700,MONTAGNY,FRANCE,Match
TRANSPORTS DELQU,"146 avenue des Etats-Unis, M.I.N. Cases 20,21,22 31200 TOULOUSE France",DELQUE PHILIPPE TRANSPORTS,146 AV DES ETATS UNIS 31200 TOULOUSE France,NONE,NONE,NONE,MIN,NONE,146,AVENUE DES ETATS UNIS,CASES 20 21 22,31200,TOULOUSE,FRANCE,NONE,NONE,NONE,NONE,NONE,146,AVENUE DES ETATS UNIS,NONE,31200,TOULOUSE,FRANCE,Match
TRANSPORTS JANVAL,"146, AVENUE DES ETATS-UNIS 31200 TOULOUSE FRANCE",TRANSPORT JANVAL,146 AV DES ETATS UNIS HALLES DU SUD OUEST 31200 TOULOUSE France,NONE,NONE,NONE,NONE,NONE,146,AVENUE DES ETATS UNIS,NONE,31200,TOULOUSE,FRANCE,NONE,NONE,NONE,NONE,NONE,146,AVENUE DES ETATS UNIS,NONE,31200,TOULOUSE,FRANCE,Match
ALACHI ET FILS,11 alle du catchre 31770 COLOMIERS France,TRANSPORTS ALACCHI ET FILS,11 ALL DE CATCHERE 31770 COLOMIERS France,NONE,NONE,NONE,NONE,NONE,11,ALLE DU CATCHRE,NONE,31770,COLOMIERS,FRANCE,NONE,NONE,NONE,NONE,NONE,11,ALLEE DE CATCHERE,NONE,31770,COLOMIERS,FRANCE,Match
TRANSPORTS BARTHES,17 RUE DE FENOUILLET 31140 SAINT ALBAN FRANCE,SARL TRANSPORTS BARTHES,17 RUE DE FENOUILLET 31140 SAINT ALBAN France,NONE,NONE,NONE,NONE,NONE,17,RUE DE FENOUILLET,NONE,31140,SAINT ALBAN,FRANCE,NONE,NONE,NONE,NONE,NONE,17,RUE DE FENOUILLET,NONE,31140,SAINT ALBAN,FRANCE,Match
TRANSIT TRANSPORTS BRUNO CATTIAU,4 rue Paul Eluard 59125 Trith Saint Lger France,TTBC,4 RUE PAUL ELUARD ZI N 2 59125 TRITH SAINT LEGER France,NONE,NONE,NONE,NONE,NONE,4,RUE PAUL ELUARD,NONE,59125,SAINT LEGER,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE NUMERO 2,NONE,4,RUE PAUL ELUARD,NONE,59125,SAINT LEGER,FRANCE,Match
CHALLENGE INTERNATIONAL GUADELOUPE,24 rue Nobel 97122 Baie - Mahault France,SEALOGIS FREIGHT FORWARDING,ZI DE JARRY 97122 BAIE MAHAULT France,NONE,NONE,NONE,NONE,NONE,24,RUE NOBEL,NONE,97122,BAIE MAHAULT,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE JARRY,NONE,NONE,NONE,NONE,97122,BAIE MAHAULT,FRANCE,PartialMatch
ARTOIS DEMENAGEMENTS,28 rue d En Haut 62130 ROELLECOURT France,ARTOIS DEMENAGEMENTS,28 RUE D'EN HAUT 62130 ROELLECOURT France,NONE,NONE,NONE,NONE,NONE,28,RUE D EN HAUT,NONE,62130,ROELLECOURT,FRANCE,NONE,NONE,NONE,NONE,NONE,28,RUE D'EN HAUT,NONE,62130,ROELLECOURT,FRANCE,Match
TRANSPORTS GROSSKOST,20 RUE PRINCIPALE 67112 BREUSCHWICKERSHEIM FRANCE,TRANSPORT GROSSKOST,20 RUE PRINCIPALE 67112 BREUSCHWICKERSHEIM France,NONE,NONE,NONE,NONE,NONE,20,RUE PRINCIPALE,NONE,67112,BREUSCHWICKERSHEIM,FRANCE,NONE,NONE,NONE,NONE,NONE,20,RUE PRINCIPALE,NONE,67112,BREUSCHWICKERSHEIM,FRANCE,Match
CHEVRIER DEMECO,90 BLD A BLANQUI 75013 PARIS FRANCE,AGENCE DIDIER CHEVRIER,90 BD AUGUSTE BLANQUI 75013 PARIS 13 France,NONE,NONE,NONE,NONE,NONE,90,BOULEVARD A BLANQUI,NONE,75013,PARIS,FRANCE,NONE,NONE,NONE,NONE,NONE,90,BOULEVARD AUGUSTE BLANQUI,NONE,75013,PARIS,FRANCE,Match
SAS PRUNET TRANSPORTS,516 CHEMIN DE VINDRAC BP 3 82300 MONTEILS FRANCE,SAS PRUNET TRANSPORTS PRUNET TRANSPORTS,500 CHE DE VINDRAC 82300 MONTEILS France,NONE,NONE,NONE,NONE,NONE,516,CHEMIN DE VINDRAC,BP 3,82300,MONTEILS,FRANCE,NONE,NONE,NONE,NONE,NONE,500,CHEMIN DE VINDRAC,NONE,82300,MONTEILS,FRANCE,PartialMatch
LAVAL FRERES TRANSPORTS,56 Route de Bergerac 33220 PINEUILH France,SOC EXPLOITATION LAVAL FRERES,56 RTE DE BERGERAC 33220 PINEUILH France,NONE,NONE,NONE,NONE,NONE,56,ROUTE DE BERGERAC,NONE,33220,PINEUILH,FRANCE,NONE,NONE,NONE,NONE,NONE,56,ROUTE DE BERGERAC,NONE,33220,PINEUILH,FRANCE,Match
TRANSPORTS GIRARD,100 Route de Clermont 95340 BERNES SUR OISE France,TRANSPORTS GIRARD,100 RTE DE CLERMONT 95340 BERNES SUR OISE France,NONE,NONE,NONE,NONE,NONE,100,ROUTE DE CLERMONT,NONE,95340,BERNES SUR OISE,FRANCE,NONE,NONE,NONE,NONE,NONE,100,ROUTE DE CLERMONT,NONE,95340,BERNES SUR OISE,FRANCE,Match
TRANSBEL,"29,Rue de Provence 38070 ST QUENTIN FALLAVIER France",TRANSBEL SARL TRANSBEL,29 RUE DE PROVENCE Z.I. DE CHESNES THARABIE 38070 SAINT QUENTIN FALLAVIER France,NONE,NONE,NONE,NONE,NONE,29,RUE DE PROVENCE,NONE,38070,SAINT QUENTIN,FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE CHESNES THARABIE,NONE,29,RUE DE PROVENCE,NONE,38070,SAINT QUENTIN,FRANCE,Match
TRANSPORTS CLEMENTE ANDR,49 rue achaintre 71170 Chauffailles France,TRANSPORTS CLEMENTE ANDRE,49 RUE ANTONIN ACHAINTRE 71170 CHAUFFAILLES France,NONE,NONE,NONE,NONE,NONE,49,RUE ACHAINTRE,NONE,71170,CHAUFFAILLES,FRANCE,NONE,NONE,NONE,NONE,NONE,49,RUE ANTONIN ACHAINTRE,NONE,71170,CHAUFFAILLES,FRANCE,Match
ACCORDEM,67 Avenue de Verdun 77470 TRILPORT France,TRANSPORT PERU,67 AV DE VERDUN 77470 TRILPORT France,NONE,NONE,NONE,NONE,NONE,67,AVENUE DE VERDUN,NONE,77470,TRILPORT,FRANCE,NONE,NONE,NONE,NONE,NONE,67,AVENUE DE VERDUN,NONE,77470,TRILPORT,FRANCE,Match
SARL ZAFATI,Place Jeanne D Arc 31000 TOULOUSE France,SARL ZAFATI ZAFATI,PL JEANNE D ARC 31000 TOULOUSE France,NONE,NONE,NONE,NONE,NONE,NONE,PLACE JEANNE D ARCADE,NONE,31000,TOULOUSE,FRANCE,NONE,NONE,NONE,NONE,NONE,NONE,PLACE JEANNE D ARCADE,NONE,31000,TOULOUSE,FRANCE,Match
MESSAGERIES DES CHAMPS ELYSEES,9 Rue Frdric Bastiat 75008 PARIS France,MESSAGERIES DES CHAMPS ELYSEES MCE EXPRESS,9 RUE FREDERIC BASTIAT 75008 PARIS 8 France,NONE,NONE,NONE,NONE,NONE,9,RUE FRDRIC BASTIAT,NONE,75008,PARIS,FRANCE,NONE,NONE,NONE,NONE,NONE,9,RUE FREDERIC BASTIAT,NONE,75008,PARIS,FRANCE,Match
CHOLLOT SA,19 RUE DES MINES 54800 JARNY FRANCE,ETABLISSEMENTS CHOLLOT CHOLLOT S.A.,19 RUE DES MINES 54800 JARNY France,NONE,NONE,NONE,NONE,NONE,19,RUE DES MINES,NONE,54800,JARNY,FRANCE,NONE,NONE,NONE,NONE,NONE,19,RUE DES MINES,NONE,54800,JARNY,FRANCE,Match
LA CATALANE DE TRANSIT,4 avenue de Toulouse 31650 SAINT ORENS DE GAMEVILLE France,LA CATALANE DE TRANSIT CATRANS - YSAL,4 AV DE TOULOUSE 31650 SAINT ORENS DE GAMEVILLE France,NONE,NONE,NONE,NONE,NONE,4,AVENUE DE TOULOUSE,NONE,31650,SAINT ORENS DE GAMEVILLE,FRANCE,NONE,NONE,NONE,NONE,NONE,4,AVENUE DE TOULOUSE,NONE,31650,SAINT ORENS DE GAMEVILLE,FRANCE,Match
S.T.D.G.,PA Les Taches 9 Avenue des Pays Bas 69330 MEYZIEU France,DUCOURNAU TRANSPORTS,9 AV DES PAYS BAS 69330 MEYZIEU France,NONE,NONE,NONE,PARC ACTIVITERC D'ACTIVITE LES TACHES,NONE,9,AVENUE DES PAYS BAS,NONE,69330,MEYZIEU,FRANCE,NONE,NONE,NONE,NONE,NONE,9,AVENUE DES PAYS BAS,NONE,69330,MEYZIEU,FRANCE,Match
CRPEAU MAURICE,46 boulevard Arago 36000 CHATEAUROUX France,DEMENAGEMENTS MAURICE CREPEAU,46 BD ARAGO 36000 CHATEAUROUX France,NONE,NONE,NONE,NONE,NONE,46,BOULEVARD ARAGO,NONE,36000,CHATEAUROUX,FRANCE,NONE,NONE,NONE,NONE,NONE,46,BOULEVARD ARAGO,NONE,36000,CHATEAUROUX,FRANCE,Match
TRANSPORTS ROISSY GLOBAL EXPRESS,10 RUE CHABRIER 93290 TREMBLAY EN FRANCE France,ROISSY GLOBAL EXPRESS,10 RUE CHABRIER 93290 TREMBLAY EN FRANCE France,NONE,NONE,NONE,NONE,NONE,10,RUE CHABRIER FRANCE,NONE,93290,TREMBLAY EN,FRANCE,NONE,NONE,NONE,NONE,NONE,10,RUE CHABRIER FRANCE,NONE,93290,TREMBLAY EN,FRANCE,Match
TSG,8 rue des Acacias 77230 Villeneuve Sous Dammartin France,T.S.G. TSG,8 RUE DES ACACIAS 77230 VILLENEUVE SOUS DAMMARTIN France,NONE,NONE,NONE,NONE,NONE,8,RUE DES ACACIAS,NONE,77230,VILLENEUVE SOUS DAMMARTIN,FRANCE,NONE,NONE,NONE,NONE,NONE,8,RUE DES ACACIAS,NONE,77230,VILLENEUVE SOUS DAMMARTIN,FRANCE,Match
TRANSPORTS LEFORT,ZI 121 AVENUE DE L'ARODROME 33260 LA TESTE FRANCE,LEFORT FRERES,121 AV DE L AERODROME ZI 33260 LA TESTE DE BUCH France,NONE,NONE,NONE,ZONE INDUSTRIELLE,NONE,121,AVENUE DE L'ARODROME,NONE,33260,LA TESTE DE BUCH,FRANCE,NONE,NONE,AERODROME,ZONE INDUSTRIELLE,NONE,121,AVENUE DE L'ARODROME,NONE,33260,LA TESTE DE BUCH,FRANCE,Match
